中国国际航空, CA5961, 空客A350, 北京, 2024-12-01 00:15, 东京, 2024-12-01 02:35, 2163, 75
南方航空, CZ2288, 波音777, 北京, 2024-12-02 10:23, 莫斯科, 2024-12-02 16:49, 5974, 108
中国国际航空, CA6544, 波音737, 北京, 2024-12-02 23:22, 呼和浩特, 2024-12-02 23:52, 463.5, 45
南方航空, CZ5849, 波音777, 北京, 2024-12-02 15:28, 曼谷, 2024-12-02 19:08, 3399, 142
南方航空, CZ1562, 空客A330, 北京, 2024-12-02 01:16, 拉萨, 2024-12-02 03:42, 2266, 98
中国国际航空, CA9231, 空客A350, 北京, 2024-12-02 03:13, 悉尼, 2024-12-02 13:13, 9270, 165
海南航空, HU8090, 空客A320, 北京, 2024-12-02 00:09, 纽约, 2024-12-02 12:22, 11330, 138
海南航空, HU8833, 空客A330, 北京, 2024-12-02 09:55, 柏林, 2024-12-02 18:15, 7725, 128
海南航空, HU2573, 空客A320, 北京, 2024-12-02 06:47, 上海, 2024-12-02 08:00, 1133, 143
海南航空, HU8013, 空客A320, 北京, 2024-12-02 03:29, 洛杉矶, 2024-12-02 14:35, 10300, 185
中国国际航空, CA5577, 空客A330, 北京, 2024-12-02 02:59, 莫斯科, 2024-12-02 09:25, 5974, 95
东方航空, MU3395, 空客A330, 北京, 2024-12-02 05:38, 东京, 2024-12-02 07:58, 2163, 22
汉莎航空, LH7056, 波音787, 北京, 2024-12-02 15:02, 南宁, 2024-12-02 17:35, 2369, 90
海南航空, HU3710, 空客A320, 北京, 2024-12-02 04:56, 悉尼, 2024-12-02 14:56, 9270, 76
汉莎航空, LH8376, 波音737, 北京, 2024-12-02 14:31, 东京, 2024-12-02 16:51, 2163, 185
南方航空, CZ2963, 空客A350, 北京, 2024-12-02 06:49, 广州, 2024-12-02 09:09, 2163, 33
法国航空, AF9181, 空客A330, 北京, 2024-12-02 02:38, 纽约, 2024-12-02 14:51, 11330, 172
中国国际航空, CA4588, 波音737, 北京, 2024-12-02 01:18, 上海, 2024-12-02 02:31, 1133, 162
