东方航空, MU9246, 空客A320, 西安, 2024-12-02 07:16, 柏林, 2024-12-02 15:29, 7622.0, 178
法国航空, AF5061, 空客A320, 巴黎, 2024-12-02 04:29, 北京, 2024-12-02 13:49, 8652.0, 56
美联航, UA7532, 波音777, 纽约, 2024-12-02 05:32, 上海, 2024-12-02 17:45, 11330.0, 73
中国国际航空, CA6961, 空客A330, 哈尔滨, 2024-12-02 10:03, 合肥, 2024-12-02 12:23, 2163.0, 192
澳洲航空, QF6608, 空客A350, 东京, 2024-12-02 09:56, 南宁, 2024-12-02 13:36, 3399.0, 164
澳洲航空, QF9656, 波音737, 北京, 2024-12-02 11:36, 巴黎, 2024-12-02 20:56, 8652.0, 169
东方航空, MU3562, 空客A330, 昆明, 2024-12-02 00:09, 乌鲁木齐, 2024-12-02 03:29, 3090.0, 134
英国航空, BA4466, 波音737, 伦敦, 2024-12-02 08:23, 西安, 2024-12-02 17:23, 8343.0, 111
大韩航空, KE4994, 波音777, 首尔, 2024-12-02 00:09, 柏林, 2024-12-02 09:15, 8446.0, 89
中国国际航空, CA3721, 波音777, 哈尔滨, 2024-12-02 13:45, 昆明, 2024-12-02 17:05, 3090.0, 31
南方航空, CZ1368, 波音787, 南宁, 2024-12-02 20:40, 西安, 2024-12-02 22:40, 1854.0, 110
法国航空, AF5540, 波音737, 巴黎, 2024-12-02 09:05, 成都, 2024-12-02 18:25, 8652.0, 130
南方航空, CZ9890, 波音737, 北京, 2024-12-02 05:14, 巴黎, 2024-12-02 14:34, 8652.0, 136
澳洲航空, QF1578, 波音737, 悉尼, 2024-12-02 14:57, 东京, 2024-12-02 23:37, 8034.0, 115
法国航空, AF7968, 空客A320, 巴黎, 2024-12-02 16:15, 乌鲁木齐, 2024-12-02 23:08, 6386.0, 94
美联航, UA1335, 波音777, 洛杉矶, 2024-12-02 02:38, 拉萨, 2024-12-02 14:04, 10609.0, 26
俄罗斯航空, SU9962, 波音777, 莫斯科, 2024-12-02 15:19, 东京, 2024-12-02 23:39, 7725.0, 191
中国国际航空, CA3841, 波音787, 哈尔滨, 2024-12-02 01:22, 莫斯科, 2024-12-02 07:08, 5356.0, 111
英国航空, BA7262, 空客A330, 伦敦, 2024-12-02 15:51, 柏林, 2024-12-02 16:54, 978.5, 185
英国航空, BA6828, 波音787, 伦敦, 2024-12-02 14:15, 哈尔滨, 2024-12-02 22:35, 7725.0, 196
俄罗斯航空, SU5655, 波音737, 莫斯科, 2024-12-02 19:45, 柏林, 2024-12-02 21:31, 1648.0, 189
汉莎航空, LH5192, 波音777, 柏林, 2024-12-02 14:52, 拉萨, 2024-12-02 22:25, 7004.0, 101
中国国际航空, CA8160, 波音787, 哈尔滨, 2024-12-02 14:39, 成都, 2024-12-02 17:32, 2678.0, 174
汉莎航空, LH8153, 空客A330, 柏林, 2024-12-02 03:35, 乌鲁木齐, 2024-12-02 09:28, 5459.0, 165
南方航空, CZ2661, 空客A330, 南宁, 2024-12-02 10:18, 上海, 2024-12-02 12:11, 1751.0, 183
