俄罗斯航空, SU8427, 波音737, 莫斯科, 2024-12-01 04:36, 柏林, 2024-12-01 06:22, 1648, 197
俄罗斯航空, SU7677, 空客A350, 莫斯科, 2024-12-01 18:29, 乌鲁木齐, 2024-12-01 22:29, 3708, 163
俄罗斯航空, SU6609, 空客A330, 莫斯科, 2024-12-01 01:43, 呼和浩特, 2024-12-01 07:43, 5562, 127
俄罗斯航空, SU5917, 空客A330, 莫斯科, 2024-12-01 07:16, 悉尼, 2024-12-01 22:09, 13802, 84
俄罗斯航空, SU6389, 空客A320, 莫斯科, 2024-12-01 06:38, 伦敦, 2024-12-01 09:24, 2575, 136
俄罗斯航空, SU7877, 空客A350, 莫斯科, 2024-12-01 16:17, 上海, 2024-12-01 23:57, 7107, 185
俄罗斯航空, SU6914, 波音777, 莫斯科, 2024-12-01 05:04, 哈尔滨, 2024-12-01 10:50, 5356, 159
俄罗斯航空, SU7615, 空客A320, 莫斯科, 2024-12-01 00:23, 巴黎, 2024-12-01 03:09, 2575, 165
俄罗斯航空, SU4842, 空客A330, 莫斯科, 2024-12-01 14:25, 上海, 2024-12-01 22:05, 7107, 37
俄罗斯航空, SU1637, 空客A320, 莫斯科, 2024-12-01 00:07, 合肥, 2024-12-01 07:20, 6695, 158
俄罗斯航空, SU3101, 空客A330, 莫斯科, 2024-12-01 08:01, 悉尼, 2024-12-01 22:54, 13802, 194
俄罗斯航空, SU1436, 空客A320, 莫斯科, 2024-12-01 08:10, 拉萨, 2024-12-01 13:50, 5253, 178
俄罗斯航空, SU3674, 波音737, 莫斯科, 2024-12-01 08:06, 哈尔滨, 2024-12-01 13:52, 5356, 122
俄罗斯航空, SU2442, 空客A350, 莫斯科, 2024-12-01 06:07, 成都, 2024-12-01 13:40, 7004, 72
俄罗斯航空, SU4450, 波音787, 莫斯科, 2024-12-01 06:58, 悉尼, 2024-12-01 21:51, 13802, 146
俄罗斯航空, SU9670, 空客A330, 莫斯科, 2024-12-01 04:01, 洛杉矶, 2024-12-01 14:47, 9991, 58
俄罗斯航空, SU8509, 波音737, 莫斯科, 2024-12-01 16:30, 巴黎, 2024-12-01 19:16, 2575, 198
俄罗斯航空, SU8126, 波音737, 莫斯科, 2024-12-01 15:15, 成都, 2024-12-01 22:48, 7004, 65
俄罗斯航空, SU3028, 波音737, 莫斯科, 2024-12-01 12:31, 曼谷, 2024-12-01 20:17, 7210, 80
俄罗斯航空, SU4525, 波音737, 莫斯科, 2024-12-01 14:21, 乌鲁木齐, 2024-12-01 18:21, 3708, 71
俄罗斯航空, SU9778, 波音777, 莫斯科, 2024-12-01 19:54, 柏林, 2024-12-01 21:40, 1648, 95
俄罗斯航空, SU9662, 空客A330, 莫斯科, 2024-12-01 13:58, 拉萨, 2024-12-01 19:38, 5253, 19
俄罗斯航空, SU8347, 波音737, 莫斯科, 2024-12-01 05:46, 上海, 2024-12-01 13:26, 7107, 126
俄罗斯航空, SU2197, 空客A320, 莫斯科, 2024-12-01 20:29, 巴黎, 2024-12-01 23:15, 2575, 117
俄罗斯航空, SU2910, 波音787, 莫斯科, 2024-12-01 12:32, 巴黎, 2024-12-01 15:18, 2575, 93
俄罗斯航空, SU7557, 波音777, 莫斯科, 2024-12-01 07:54, 悉尼, 2024-12-01 22:47, 13802, 145
俄罗斯航空, SU3709, 波音777, 莫斯科, 2024-12-01 03:56, 首尔, 2024-12-01 11:16, 6798, 147
俄罗斯航空, SU8534, 空客A330, 莫斯科, 2024-12-01 14:18, 乌鲁木齐, 2024-12-01 18:18, 3708, 86
俄罗斯航空, SU5935, 空客A330, 莫斯科, 2024-12-01 14:51, 乌鲁木齐, 2024-12-01 18:51, 3708, 28
俄罗斯航空, SU9003, 波音737, 莫斯科, 2024-12-01 06:28, 纽约, 2024-12-01 14:48, 7725, 26
汉莎航空, LH1580, 波音777, 柏林, 2024-12-01 08:03, 昆明, 2024-12-01 17:03, 8343, 53
汉莎航空, LH9248, 波音737, 柏林, 2024-12-01 21:38, 莫斯科, 2024-12-01 23:24, 1648, 163
汉莎航空, LH9019, 空客A320, 柏林, 2024-12-01 02:11, 昆明, 2024-12-01 11:11, 8343, 125
汉莎航空, LH7995, 波音777, 柏林, 2024-12-01 04:33, 首尔, 2024-12-01 13:39, 8446, 146
汉莎航空, LH5559, 空客A350, 柏林, 2024-12-01 10:25, 上海, 2024-12-01 19:51, 8755, 106
汉莎航空, LH4347, 空客A330, 柏林, 2024-12-01 13:04, 南宁, 2024-12-01 22:50, 9064, 122
汉莎航空, LH1298, 空客A350, 柏林, 2024-12-01 08:02, 纽约, 2024-12-01 15:22, 6798, 127
汉莎航空, LH7875, 空客A350, 柏林, 2024-12-01 03:00, 上海, 2024-12-01 12:26, 8755, 77
汉莎航空, LH7408, 空客A350, 柏林, 2024-12-01 09:14, 昆明, 2024-12-01 18:14, 8343, 116
汉莎航空, LH2081, 波音787, 柏林, 2024-12-01 01:27, 伦敦, 2024-12-01 02:30, 978.5, 110
汉莎航空, LH6827, 波音787, 柏林, 2024-12-01 21:07, 巴黎, 2024-12-01 22:07, 927, 122
汉莎航空, LH2498, 波音787, 柏林, 2024-12-01 07:34, 洛杉矶, 2024-12-01 17:54, 9579, 125
汉莎航空, LH3609, 波音787, 柏林, 2024-12-01 04:02, 呼和浩特, 2024-12-01 11:55, 7313, 26
汉莎航空, LH8503, 空客A350, 柏林, 2024-12-01 13:33, 洛杉矶, 2024-12-01 23:53, 9579, 81
南方航空, CZ5763, 波音787, 乌鲁木齐, 2024-12-01 10:28, 昆明, 2024-12-01 13:48, 3090, 52
南方航空, CZ4933, 波音777, 乌鲁木齐, 2024-12-01 14:59, 首尔, 2024-12-01 18:32, 3296, 54
南方航空, CZ4716, 空客A330, 乌鲁木齐, 2024-12-01 07:34, 曼谷, 2024-12-01 13:40, 5665, 169
南方航空, CZ1149, 波音787, 乌鲁木齐, 2024-12-01 07:58, 昆明, 2024-12-01 11:18, 3090, 197
南方航空, CZ6401, 空客A330, 乌鲁木齐, 2024-12-01 10:21, 伦敦, 2024-12-01 17:01, 6180, 104
南方航空, CZ2207, 空客A350, 乌鲁木齐, 2024-12-01 00:15, 合肥, 2024-12-01 03:48, 3296, 8
南方航空, CZ4639, 空客A320, 乌鲁木齐, 2024-12-01 07:13, 伦敦, 2024-12-01 13:53, 6180, 181
南方航空, CZ9165, 空客A330, 乌鲁木齐, 2024-12-01 09:53, 巴黎, 2024-12-01 16:46, 6386, 49
南方航空, CZ2897, 波音777, 乌鲁木齐, 2024-12-01 02:46, 哈尔滨, 2024-12-01 06:26, 3399, 146
南方航空, CZ9577, 波音737, 乌鲁木齐, 2024-12-01 08:29, 洛杉矶, 2024-12-01 18:15, 9064, 75
南方航空, CZ3259, 波音777, 乌鲁木齐, 2024-12-01 14:37, 呼和浩特, 2024-12-01 16:37, 1854, 127
南方航空, CZ6074, 波音787, 乌鲁木齐, 2024-12-01 19:18, 南宁, 2024-12-01 23:44, 4120, 177
南方航空, CZ4250, 空客A350, 乌鲁木齐, 2024-12-01 12:07, 伦敦, 2024-12-01 18:47, 6180, 131
南方航空, CZ8298, 空客A320, 乌鲁木齐, 2024-12-01 16:32, 西安, 2024-12-01 18:52, 2163, 22
中国国际航空, CA4877, 波音737, 呼和浩特, 2024-12-01 10:36, 合肥, 2024-12-01 12:09, 1442, 194
中国国际航空, CA8416, 空客A330, 呼和浩特, 2024-12-01 06:50, 首尔, 2024-12-01 08:23, 1442, 93
中国国际航空, CA6195, 波音787, 呼和浩特, 2024-12-01 03:17, 纽约, 2024-12-01 15:03, 10918, 99
中国国际航空, CA4874, 空客A320, 呼和浩特, 2024-12-01 03:37, 哈尔滨, 2024-12-01 05:03, 1339, 70
中国国际航空, CA4446, 波音737, 呼和浩特, 2024-12-01 10:26, 悉尼, 2024-12-01 20:46, 9579, 34
中国国际航空, CA1113, 空客A330, 呼和浩特, 2024-12-01 02:34, 上海, 2024-12-01 04:14, 1545, 123
中国国际航空, CA2403, 波音737, 呼和浩特, 2024-12-01 12:34, 曼谷, 2024-12-01 16:40, 3811, 102
中国国际航空, CA7483, 波音737, 呼和浩特, 2024-12-01 14:14, 曼谷, 2024-12-01 18:20, 3811, 163
中国国际航空, CA4951, 波音787, 呼和浩特, 2024-12-01 15:56, 西安, 2024-12-01 16:46, 772.5, 80
中国国际航空, CA2687, 空客A330, 呼和浩特, 2024-12-01 06:36, 巴黎, 2024-12-01 15:29, 8240, 75
中国国际航空, CA6852, 空客A320, 呼和浩特, 2024-12-01 10:44, 东京, 2024-12-01 13:30, 2575, 33
中国国际航空, CA7717, 波音777, 呼和浩特, 2024-12-01 12:42, 首尔, 2024-12-01 14:15, 1442, 132
中国国际航空, CA4618, 空客A330, 呼和浩特, 2024-12-01 09:13, 上海, 2024-12-01 10:53, 1545, 104
中国国际航空, CA1535, 波音737, 呼和浩特, 2024-12-01 17:22, 上海, 2024-12-01 19:02, 1545, 174
中国国际航空, CA9762, 波音787, 呼和浩特, 2024-12-01 13:15, 合肥, 2024-12-01 14:48, 1442, 75
中国国际航空, CA4958, 空客A320, 呼和浩特, 2024-12-01 02:02, 哈尔滨, 2024-12-01 03:28, 1339, 32
中国国际航空, CA9580, 空客A350, 呼和浩特, 2024-12-01 05:14, 上海, 2024-12-01 06:54, 1545, 134
中国国际航空, CA3603, 空客A320, 呼和浩特, 2024-12-01 07:20, 南宁, 2024-12-01 10:20, 2781, 104
中国国际航空, CA3426, 空客A320, 呼和浩特, 2024-12-01 21:32, 首尔, 2024-12-01 23:05, 1442, 14
澳洲航空, QF1320, 波音787, 悉尼, 2024-12-01 01:44, 伦敦, 2024-12-01 20:30, 17407, 104
澳洲航空, QF2515, 波音737, 悉尼, 2024-12-01 12:25, 东京, 2024-12-01 21:05, 8034, 7
澳洲航空, QF6978, 波音737, 悉尼, 2024-12-01 04:59, 纽约, 2024-12-01 22:39, 16377, 33
澳洲航空, QF3450, 波音737, 悉尼, 2024-12-01 14:56, 上海, 2024-12-01 23:49, 8240, 115
澳洲航空, QF6555, 空客A330, 悉尼, 2024-12-01 04:24, 巴黎, 2024-12-01 22:57, 17201, 70
澳洲航空, QF7905, 波音737, 悉尼, 2024-12-01 00:09, 柏林, 2024-12-01 18:09, 16686, 177
澳洲航空, QF5653, 空客A330, 悉尼, 2024-12-01 02:52, 东京, 2024-12-01 11:32, 8034, 38
澳洲航空, QF6132, 波音787, 悉尼, 2024-12-01 01:36, 柏林, 2024-12-01 19:36, 16686, 121
澳洲航空, QF6761, 空客A350, 悉尼, 2024-12-01 02:04, 莫斯科, 2024-12-01 16:57, 13802, 59
澳洲航空, QF6859, 空客A320, 悉尼, 2024-12-01 04:26, 曼谷, 2024-12-01 12:46, 7725, 27
澳洲航空, QF5828, 空客A330, 悉尼, 2024-12-01 08:43, 东京, 2024-12-01 17:23, 8034, 7
澳洲航空, QF5697, 空客A350, 悉尼, 2024-12-01 11:41, 昆明, 2024-12-01 19:27, 7210, 151
澳洲航空, QF9264, 空客A320, 悉尼, 2024-12-01 13:40, 昆明, 2024-12-01 21:26, 7210, 26
澳洲航空, QF4394, 波音777, 悉尼, 2024-12-01 12:41, 东京, 2024-12-01 21:21, 8034, 72
澳洲航空, QF3618, 波音777, 悉尼, 2024-12-01 00:36, 首尔, 2024-12-01 09:56, 8652, 83
澳洲航空, QF8556, 波音777, 悉尼, 2024-12-01 09:29, 东京, 2024-12-01 18:09, 8034, 189
澳洲航空, QF3633, 空客A330, 悉尼, 2024-12-01 09:11, 乌鲁木齐, 2024-12-01 20:51, 10815, 152
英国航空, BA4022, 空客A350, 伦敦, 2024-12-01 03:08, 东京, 2024-12-01 13:41, 9785, 17
英国航空, BA9584, 波音737, 伦敦, 2024-12-01 16:55, 巴黎, 2024-12-01 17:18, 360.5, 60
英国航空, BA7450, 空客A330, 伦敦, 2024-12-01 05:40, 纽约, 2024-12-01 11:53, 5768, 64
英国航空, BA7680, 空客A320, 伦敦, 2024-12-01 08:52, 拉萨, 2024-12-01 17:12, 7725, 16
英国航空, BA8570, 空客A320, 伦敦, 2024-12-01 03:27, 莫斯科, 2024-12-01 06:13, 2575, 66
英国航空, BA3079, 波音787, 伦敦, 2024-12-01 00:26, 广州, 2024-12-01 10:46, 9579, 75
英国航空, BA5322, 空客A350, 伦敦, 2024-12-01 22:33, 柏林, 2024-12-01 23:36, 978.5, 194
英国航空, BA7259, 波音777, 伦敦, 2024-12-01 09:38, 纽约, 2024-12-01 15:51, 5768, 48
英国航空, BA8987, 空客A320, 伦敦, 2024-12-01 04:29, 上海, 2024-12-01 14:42, 9476, 104
英国航空, BA4171, 波音777, 伦敦, 2024-12-01 00:43, 柏林, 2024-12-01 01:46, 978.5, 48
英国航空, BA6441, 空客A320, 伦敦, 2024-12-01 20:31, 莫斯科, 2024-12-01 23:17, 2575, 122
英国航空, BA1983, 波音737, 伦敦, 2024-12-01 00:24, 曼谷, 2024-12-01 10:57, 9785, 23
英国航空, BA5337, 空客A350, 伦敦, 2024-12-01 11:45, 上海, 2024-12-01 21:58, 9476, 38
英国航空, BA9998, 波音777, 伦敦, 2024-12-01 23:00, 巴黎, 2024-12-01 23:23, 360.5, 45
英国航空, BA5277, 空客A350, 伦敦, 2024-12-01 08:57, 合肥, 2024-12-01 18:43, 9064, 154
英国航空, BA7919, 空客A330, 伦敦, 2024-12-01 16:23, 柏林, 2024-12-01 17:26, 978.5, 67
英国航空, BA2986, 波音737, 伦敦, 2024-12-01 14:12, 拉萨, 2024-12-01 22:32, 7725, 121
英国航空, BA1618, 空客A350, 伦敦, 2024-12-01 03:37, 合肥, 2024-12-01 13:23, 9064, 190
英国航空, BA3825, 波音777, 伦敦, 2024-12-01 04:06, 悉尼, 2024-12-01 22:52, 17407, 182
英国航空, BA1466, 空客A350, 伦敦, 2024-12-01 10:29, 纽约, 2024-12-01 16:42, 5768, 101
英国航空, BA5976, 波音777, 伦敦, 2024-12-01 01:58, 首尔, 2024-12-01 11:44, 9064, 187
英国航空, BA1200, 空客A320, 伦敦, 2024-12-01 04:42, 莫斯科, 2024-12-01 07:28, 2575, 45
英国航空, BA2905, 空客A320, 伦敦, 2024-12-01 06:26, 洛杉矶, 2024-12-01 16:12, 9064, 169
英国航空, BA2026, 波音787, 伦敦, 2024-12-01 11:47, 合肥, 2024-12-01 21:33, 9064, 183
英国航空, BA9108, 波音737, 伦敦, 2024-12-01 22:55, 巴黎, 2024-12-01 23:18, 360.5, 187
英国航空, BA2906, 空客A330, 伦敦, 2024-12-01 00:44, 呼和浩特, 2024-12-01 09:24, 8034, 33
英国航空, BA1293, 空客A330, 伦敦, 2024-12-01 13:55, 纽约, 2024-12-01 20:08, 5768, 146
英国航空, BA9832, 空客A330, 伦敦, 2024-12-01 14:06, 北京, 2024-12-01 23:12, 8446, 172
英国航空, BA3336, 波音787, 伦敦, 2024-12-01 09:57, 南宁, 2024-12-01 20:30, 9785, 99
澳洲航空, QF1022, 波音737, 上海, 2024-12-01 04:14, 纽约, 2024-12-01 16:27, 11330, 190
法国航空, AF8702, 波音787, 上海, 2024-12-01 11:38, 北京, 2024-12-01 12:51, 1133, 59
俄罗斯航空, SU3507, 波音737, 上海, 2024-12-01 06:59, 洛杉矶, 2024-12-01 18:05, 10300, 153
海南航空, HU9145, 波音787, 上海, 2024-12-01 05:33, 巴黎, 2024-12-01 15:59, 9682, 51
日本航空, JL3653, 波音737, 上海, 2024-12-01 14:16, 哈尔滨, 2024-12-01 16:29, 2060, 171
东方航空, MU2664, 波音777, 上海, 2024-12-01 00:38, 悉尼, 2024-12-01 09:31, 8240, 105
全日空, NH2563, 波音787, 上海, 2024-12-01 02:31, 成都, 2024-12-01 04:24, 1751, 13
英国航空, BA3174, 波音777, 上海, 2024-12-01 09:28, 呼和浩特, 2024-12-01 11:08, 1545, 22
英国航空, BA6598, 波音787, 上海, 2024-12-01 16:47, 北京, 2024-12-01 18:00, 1133, 95
全日空, NH5299, 空客A330, 上海, 2024-12-01 13:13, 哈尔滨, 2024-12-01 15:26, 2060, 118
大韩航空, KE2503, 空客A350, 上海, 2024-12-01 10:41, 伦敦, 2024-12-01 20:54, 9476, 152
东方航空, MU2434, 空客A330, 上海, 2024-12-01 21:02, 成都, 2024-12-01 22:55, 1751, 16
