中国国际航空, CA5032, 乌鲁木齐, 2024-11-01 03:39, 昆明, 2024-11-01 06:25, 2575, 78
中国国际航空, CA2093, 乌鲁木齐, 2024-11-01 05:55, 北京, 2024-11-01 08:21, 2266, 11
中国国际航空, CA1464, 乌鲁木齐, 2024-11-01 02:56, 哈尔滨, 2024-11-01 05:42, 2575, 93
中国国际航空, CA6264, 乌鲁木齐, 2024-11-01 11:36, 广州, 2024-11-01 14:56, 3090, 10
中国国际航空, CA8510, 乌鲁木齐, 2024-11-01 07:04, 北京, 2024-11-01 09:30, 2266, 198
中国国际航空, CA1886, 乌鲁木齐, 2024-11-01 15:30, 悉尼, 2024-11-01 22:43, 6695, 188
中国国际航空, CA1752, 乌鲁木齐, 2024-11-01 04:58, 南宁, 2024-11-01 08:51, 3605, 2
中国国际航空, CA6181, 乌鲁木齐, 2024-11-01 05:46, 北京, 2024-11-01 08:12, 2266, 184
中国国际航空, CA4798, 乌鲁木齐, 2024-11-01 17:12, 北京, 2024-11-01 19:38, 2266, 106
中国国际航空, CA1819, 乌鲁木齐, 2024-11-01 21:34, 北京, 2024-11-02 00:00, 2266, 20
中国国际航空, CA1455, 乌鲁木齐, 2024-11-01 20:52, 昆明, 2024-11-01 23:38, 2575, 97
中国国际航空, CA4934, 乌鲁木齐, 2024-11-01 06:34, 南宁, 2024-11-01 10:27, 3605, 38
中国国际航空, CA9353, 乌鲁木齐, 2024-11-01 16:16, 广州, 2024-11-01 19:36, 3090, 112
中国国际航空, CA5979, 乌鲁木齐, 2024-11-01 11:37, 伦敦, 2024-11-01 20:30, 8240, 11
中国国际航空, CA9958, 乌鲁木齐, 2024-11-01 03:43, 南宁, 2024-11-01 07:36, 3605, 159
中国国际航空, CA7334, 乌鲁木齐, 2024-11-01 11:33, 东京, 2024-11-01 14:53, 3090, 58
中国国际航空, CA3865, 乌鲁木齐, 2024-11-01 06:24, 南宁, 2024-11-01 10:17, 3605, 61
中国国际航空, CA7495, 乌鲁木齐, 2024-11-01 00:54, 上海, 2024-11-01 05:20, 4120, 151
中国国际航空, CA3299, 乌鲁木齐, 2024-11-01 15:43, 上海, 2024-11-01 20:09, 4120, 16
中国国际航空, CA8702, 乌鲁木齐, 2024-11-01 12:24, 广州, 2024-11-01 15:44, 3090, 127
中国国际航空, CA4283, 乌鲁木齐, 2024-11-01 08:11, 昆明, 2024-11-01 10:57, 2575, 150
中国国际航空, CA2609, 乌鲁木齐, 2024-11-01 06:43, 南宁, 2024-11-01 10:36, 3605, 122
中国国际航空, CA2508, 乌鲁木齐, 2024-11-01 17:56, 广州, 2024-11-01 21:16, 3090, 158
中国国际航空, CA8203, 乌鲁木齐, 2024-11-01 04:03, 南宁, 2024-11-01 07:56, 3605, 114
中国国际航空, CA3284, 昆明, 2024-11-01 09:49, 哈尔滨, 2024-11-01 12:09, 2163, 41
中国国际航空, CA1865, 昆明, 2024-11-01 07:11, 成都, 2024-11-01 07:51, 618, 155
中国国际航空, CA8665, 昆明, 2024-11-01 02:11, 哈尔滨, 2024-11-01 04:31, 2163, 42
中国国际航空, CA2572, 昆明, 2024-11-01 03:41, 纽约, 2024-11-01 18:07, 13390, 174
中国国际航空, CA6803, 昆明, 2024-11-01 19:03, 上海, 2024-11-01 21:16, 2060, 162
中国国际航空, CA1666, 昆明, 2024-11-01 07:22, 呼和浩特, 2024-11-01 09:02, 1545, 125
中国国际航空, CA9568, 昆明, 2024-11-01 22:16, 成都, 2024-11-01 22:56, 618, 36
中国国际航空, CA6812, 昆明, 2024-11-01 02:16, 乌鲁木齐, 2024-11-01 05:02, 2575, 154
中国国际航空, CA7329, 昆明, 2024-11-01 04:36, 纽约, 2024-11-01 19:02, 13390, 156
中国国际航空, CA3783, 昆明, 2024-11-01 00:22, 呼和浩特, 2024-11-01 02:02, 1545, 186
中国国际航空, CA9562, 昆明, 2024-11-01 11:52, 东京, 2024-11-01 15:12, 3090, 59
中国国际航空, CA7408, 昆明, 2024-11-01 08:46, 纽约, 2024-11-01 23:12, 13390, 148
中国国际航空, CA6090, 昆明, 2024-11-01 16:36, 上海, 2024-11-01 18:49, 2060, 67
中国国际航空, CA8518, 昆明, 2024-11-01 07:38, 巴黎, 2024-11-01 17:38, 9270, 31
中国国际航空, CA9099, 昆明, 2024-11-01 00:13, 纽约, 2024-11-01 14:39, 13390, 153
中国国际航空, CA6096, 昆明, 2024-11-01 11:24, 广州, 2024-11-01 12:04, 618, 68
中国国际航空, CA3887, 昆明, 2024-11-01 06:06, 伦敦, 2024-11-01 16:39, 9785, 110
中国国际航空, CA5031, 北京, 2024-11-01 05:25, 南宁, 2024-11-01 07:31, 1957, 171
中国国际航空, CA4754, 北京, 2024-11-01 14:05, 巴黎, 2024-11-01 22:45, 8034, 147
