中国国际航空, CA5824, 北京, 2024-10-01 22:02, 哈尔滨, 2024-10-02 02:25, 1353, 39
山东航空, SC6126, 呼和浩特, 2024-10-01 23:53, 哈尔滨, 2024-10-02 04:47, 882, 72
中国国际航空, CA3395, 拉萨, 2024-10-01 13:41, 上海, 2024-10-01 18:46, 725, 73
东方航空, MU5285, 呼和浩特, 2024-10-01 04:09, 昆明, 2024-10-01 08:30, 1250, 39
东方航空, MU1169, 呼和浩特, 2024-10-01 12:22, 上海, 2024-10-01 15:42, 888, 96
东方航空, MU2170, 昆明, 2024-10-01 21:12, 南宁, 2024-10-02 02:31, 615, 98
南方航空, CZ2954, 广州, 2024-10-01 00:04, 昆明, 2024-10-01 03:35, 675, 37
东方航空, MU2925, 拉萨, 2024-10-01 03:00, 成都, 2024-10-01 05:23, 1113, 97
厦门航空, MF4609, 广州, 2024-10-01 21:06, 成都, 2024-10-02 02:37, 1290, 98
南方航空, CZ6864, 广州, 2024-10-01 00:44, 成都, 2024-10-01 03:19, 1036, 68
厦门航空, MF9271, 呼和浩特, 2024-10-01 15:34, 广州, 2024-10-01 20:22, 519, 39
山东航空, SC8249, 乌鲁木齐, 2024-10-01 11:56, 成都, 2024-10-01 16:42, 462, 69
厦门航空, MF1944, 广州, 2024-10-01 15:59, 昆明, 2024-10-01 18:26, 437, 62
东方航空, MU3702, 广州, 2024-10-01 17:20, 北京, 2024-10-01 20:40, 1252, 33
厦门航空, MF7879, 北京, 2024-10-01 08:58, 呼和浩特, 2024-10-01 12:35, 1233, 50
中国国际航空, CA5389, 成都, 2024-10-01 13:13, 南宁, 2024-10-01 18:35, 640, 44
东方航空, MU7507, 南宁, 2024-10-01 10:13, 昆明, 2024-10-01 12:39, 834, 53
山东航空, SC5768, 上海, 2024-10-01 16:14, 成都, 2024-10-01 19:51, 638, 76
中国国际航空, CA9004, 成都, 2024-10-01 18:40, 乌鲁木齐, 2024-10-01 22:12, 482, 19
厦门航空, MF7949, 北京, 2024-10-01 05:46, 乌鲁木齐, 2024-10-01 08:28, 1489, 52
厦门航空, MF7201, 北京, 2024-10-01 21:05, 呼和浩特, 2024-10-02 01:01, 542, 64
厦门航空, MF7581, 拉萨, 2024-10-01 02:56, 哈尔滨, 2024-10-01 06:29, 906, 38
厦门航空, MF3621, 北京, 2024-10-01 13:24, 广州, 2024-10-01 16:45, 1118, 67
厦门航空, MF8159, 南宁, 2024-10-01 12:13, 上海, 2024-10-01 17:28, 752, 76
南方航空, CZ8301, 上海, 2024-10-01 11:56, 北京, 2024-10-01 16:27, 481, 89
东方航空, MU5476, 成都, 2024-10-01 13:35, 南宁, 2024-10-01 17:21, 1406, 28
厦门航空, MF2371, 拉萨, 2024-10-01 06:28, 乌鲁木齐, 2024-10-01 10:00, 937, 62
山东航空, SC4090, 拉萨, 2024-10-01 11:33, 成都, 2024-10-01 15:10, 1347, 50
中国国际航空, CA5815, 拉萨, 2024-10-01 14:01, 广州, 2024-10-01 18:05, 1498, 29
山东航空, SC6218, 北京, 2024-10-01 09:21, 呼和浩特, 2024-10-01 12:30, 1038, 91
南方航空, CZ6118, 拉萨, 2024-10-01 16:10, 广州, 2024-10-01 20:33, 1196, 87
厦门航空, MF6852, 北京, 2024-10-01 15:11, 昆明, 2024-10-01 17:58, 908, 73
山东航空, SC4552, 乌鲁木齐, 2024-10-01 19:56, 拉萨, 2024-10-01 23:02, 816, 42
东方航空, MU1639, 呼和浩特, 2024-10-01 19:52, 上海, 2024-10-01 21:57, 433, 62
东方航空, MU5141, 拉萨, 2024-10-01 07:37, 昆明, 2024-10-01 10:26, 1355, 61
厦门航空, MF8361, 哈尔滨, 2024-10-01 04:29, 呼和浩特, 2024-10-01 06:49, 1226, 26
中国国际航空, CA8819, 呼和浩特, 2024-10-01 00:06, 乌鲁木齐, 2024-10-01 05:50, 1121, 77
厦门航空, MF2095, 南宁, 2024-10-01 03:49, 上海, 2024-10-01 09:32, 772, 46
南方航空, CZ8917, 哈尔滨, 2024-10-01 20:34, 北京, 2024-10-01 23:01, 1292, 79
厦门航空, MF6906, 成都, 2024-10-01 09:06, 北京, 2024-10-01 12:03, 954, 15
厦门航空, MF5832, 南宁, 2024-10-01 19:35, 拉萨, 2024-10-01 22:54, 969, 53
南方航空, CZ3260, 成都, 2024-10-01 10:38, 哈尔滨, 2024-10-01 13:09, 624, 75
南方航空, CZ7424, 成都, 2024-10-01 22:25, 哈尔滨, 2024-10-02 01:58, 620, 70
南方航空, CZ9513, 广州, 2024-10-01 13:00, 哈尔滨, 2024-10-01 18:08, 699, 26
东方航空, MU8751, 哈尔滨, 2024-10-01 11:16, 南宁, 2024-10-01 16:10, 699, 33
山东航空, SC9152, 拉萨, 2024-10-01 19:37, 哈尔滨, 2024-10-01 23:05, 1465, 53
东方航空, MU2536, 南宁, 2024-10-01 17:33, 昆明, 2024-10-01 20:26, 1113, 90
厦门航空, MF7302, 南宁, 2024-10-01 02:04, 呼和浩特, 2024-10-01 05:11, 1348, 95
东方航空, MU3713, 南宁, 2024-10-01 14:55, 乌鲁木齐, 2024-10-01 19:34, 582, 85
南方航空, CZ9355, 乌鲁木齐, 2024-10-01 13:52, 拉萨, 2024-10-01 16:17, 1335, 49
厦门航空, MF4748, 拉萨, 2024-10-01 11:33, 上海, 2024-10-01 17:09, 1455, 36
山东航空, SC2245, 成都, 2024-10-01 20:34, 拉萨, 2024-10-02 02:28, 1017, 13
山东航空, SC9311, 北京, 2024-10-01 05:14, 呼和浩特, 2024-10-01 09:11, 466, 85
厦门航空, MF5673, 北京, 2024-10-01 04:21, 哈尔滨, 2024-10-01 08:43, 1372, 80
厦门航空, MF7391, 昆明, 2024-10-01 09:45, 拉萨, 2024-10-01 14:29, 1379, 12
中国国际航空, CA5845, 哈尔滨, 2024-10-01 12:41, 广州, 2024-10-01 16:40, 1188, 79
山东航空, SC3210, 成都, 2024-10-01 12:16, 上海, 2024-10-01 15:41, 956, 35
东方航空, MU9036, 南宁, 2024-10-01 04:25, 拉萨, 2024-10-01 09:47, 1064, 16
东方航空, MU9510, 上海, 2024-10-01 21:39, 广州, 2024-10-02 03:21, 1173, 47
中国国际航空, CA5775, 北京, 2024-10-01 17:05, 南宁, 2024-10-01 20:51, 583, 98
南方航空, CZ9683, 北京, 2024-10-01 20:43, 呼和浩特, 2024-10-02 00:50, 828, 85
南方航空, CZ8889, 南宁, 2024-10-01 15:55, 昆明, 2024-10-01 20:11, 404, 74
厦门航空, MF5504, 广州, 2024-10-01 23:59, 乌鲁木齐, 2024-10-02 04:06, 872, 53
中国国际航空, CA6775, 上海, 2024-10-01 14:07, 乌鲁木齐, 2024-10-01 18:04, 1043, 43
山东航空, SC1481, 乌鲁木齐, 2024-10-01 17:22, 哈尔滨, 2024-10-01 19:56, 1019, 28
中国国际航空, CA9913, 乌鲁木齐, 2024-10-01 18:24, 广州, 2024-10-01 22:34, 1011, 30
山东航空, SC6652, 呼和浩特, 2024-10-01 19:46, 成都, 2024-10-01 22:25, 1194, 35
中国国际航空, CA9408, 哈尔滨, 2024-10-01 08:44, 乌鲁木齐, 2024-10-01 12:40, 1008, 80
中国国际航空, CA2890, 南宁, 2024-10-01 13:31, 拉萨, 2024-10-01 17:08, 1465, 59
厦门航空, MF4837, 北京, 2024-10-01 10:40, 成都, 2024-10-01 14:46, 567, 99
中国国际航空, CA7956, 南宁, 2024-10-01 07:18, 拉萨, 2024-10-01 12:27, 628, 34
山东航空, SC3437, 呼和浩特, 2024-10-01 21:03, 成都, 2024-10-02 02:21, 1439, 45
山东航空, SC9619, 昆明, 2024-10-01 04:30, 哈尔滨, 2024-10-01 08:31, 561, 79
中国国际航空, CA5852, 广州, 2024-10-01 18:02, 北京, 2024-10-01 20:51, 650, 77
东方航空, MU9658, 南宁, 2024-10-01 07:19, 成都, 2024-10-01 09:40, 424, 87
东方航空, MU4356, 哈尔滨, 2024-10-01 05:34, 乌鲁木齐, 2024-10-01 10:05, 883, 95
东方航空, MU9963, 广州, 2024-10-01 02:01, 上海, 2024-10-01 06:15, 615, 70
厦门航空, MF1648, 拉萨, 2024-10-01 21:07, 成都, 2024-10-02 01:52, 702, 16
