中国国际航空, CA5824, 北京, 2024-10-01 22:02, 哈尔滨, 2024-10-02 02:25, 1353, 35
厦门航空, MF7879, 北京, 2024-10-01 08:58, 呼和浩特, 2024-10-01 12:35, 1233, 41
中国国际航空, CA5824, 北京, 2024-10-01 22:02, 伦敦, 2024-10-02 14:25, 7353, 135
厦门航空, MF7879, 北京, 2024-10-01 08:58, 纽约, 2024-10-01 23:35, 9233, 143
厦门航空, MF7949, 北京, 2024-10-01 05:46, 乌鲁木齐, 2024-10-01 08:28, 1489, 49
厦门航空, MF7201, 北京, 2024-10-01 21:05, 呼和浩特, 2024-10-02 01:01, 542, 64
厦门航空, MF3621, 北京, 2024-10-01 13:24, 广州, 2024-10-01 16:45, 1118, 67
山东航空, SC6218, 北京, 2024-10-01 09:21, 呼和浩特, 2024-10-01 12:30, 1038, 90
厦门航空, MF6852, 北京, 2024-10-01 15:11, 昆明, 2024-10-01 17:58, 908, 73
山东航空, SC9311, 北京, 2024-10-01 05:14, 呼和浩特, 2024-10-01 09:11, 466, 85
厦门航空, MF5673, 北京, 2024-10-01 04:21, 哈尔滨, 2024-10-01 08:43, 1372, 80
中国国际航空, CA5775, 北京, 2024-10-01 17:05, 南宁, 2024-10-01 20:51, 583, 98
南方航空, CZ9683, 北京, 2024-10-01 20:43, 呼和浩特, 2024-10-02 00:50, 828, 85
厦门航空, MF4837, 北京, 2024-10-01 10:40, 成都, 2024-10-01 14:46, 567, 99
南方航空, CZ6623, 北京, 2024-10-01 22:28, 拉萨, 2024-10-02 00:30, 899, 21
东方航空, MU3407, 北京, 2024-10-01 19:13, 昆明, 2024-10-01 21:46, 1197, 14
厦门航空, MF9267, 北京, 2024-10-01 16:51, 南宁, 2024-10-01 21:17, 1270, 93
东方航空, MU9454, 北京, 2024-10-01 15:43, 拉萨, 2024-10-01 19:03, 894, 78
山东航空, SC4886, 北京, 2024-10-01 09:21, 哈尔滨, 2024-10-01 14:00, 930, 89
山东航空, SC6107, 北京, 2024-10-01 17:13, 成都, 2024-10-01 20:04, 1347, 34
山东航空, SC4499, 北京, 2024-10-01 19:54, 拉萨, 2024-10-02 00:42, 481, 93
中国国际航空, CA4197, 北京, 2024-10-01 17:34, 呼和浩特, 2024-10-01 23:08, 1381, 77
东方航空, MU8915, 北京, 2024-10-01 12:51, 广州, 2024-10-01 15:10, 945, 31
山东航空, SC5237, 北京, 2024-10-01 06:14, 呼和浩特, 2024-10-01 09:22, 1137, 95
厦门航空, MF8361, 哈尔滨, 2024-10-01 04:29, 呼和浩特, 2024-10-01 06:49, 1226, 26
南方航空, CZ8917, 哈尔滨, 2024-10-01 20:34, 北京, 2024-10-01 23:01, 1292, 79
东方航空, MU8751, 哈尔滨, 2024-10-01 11:16, 南宁, 2024-10-01 16:10, 699, 33
中国国际航空, CA5845, 哈尔滨, 2024-10-01 12:41, 广州, 2024-10-01 16:40, 1188, 79
中国国际航空, CA9408, 哈尔滨, 2024-10-01 08:44, 乌鲁木齐, 2024-10-01 12:40, 1008, 80
东方航空, MU4356, 哈尔滨, 2024-10-01 05:34, 乌鲁木齐, 2024-10-01 10:05, 883, 95
厦门航空, MF6896, 哈尔滨, 2024-10-01 21:10, 呼和浩特, 2024-10-02 03:04, 929, 16
山东航空, SC1464, 哈尔滨, 2024-10-01 07:34, 南宁, 2024-10-01 12:13, 1085, 39
中国国际航空, CA2878, 哈尔滨, 2024-10-01 09:39, 北京, 2024-10-01 15:03, 1094, 59
东方航空, MU7079, 哈尔滨, 2024-10-01 08:50, 昆明, 2024-10-01 11:30, 801, 64
