澳洲航空, QF3979, 空客A350, 东京, 2024-12-01 02:07, 巴黎, 2024-12-01 13:00, 10094.0, 54
泰国航空, TG6126, 波音787, 广州, 2024-12-01 07:57, 纽约, 2024-12-01 21:23, 12463.0, 110
中国国际航空, CA4646, 空客A350, 哈尔滨, 2024-12-01 06:48, 广州, 2024-12-01 10:21, 3296.0, 149
大韩航空, KE7502, 空客A350, 广州, 2024-12-01 14:59, 昆明, 2024-12-01 16:05, 1030.0, 73
南方航空, CZ3078, 波音737, 乌鲁木齐, 2024-12-01 07:15, 南宁, 2024-12-01 11:41, 4120.0, 89
中国国际航空, CA2475, 波音787, 西安, 2024-12-01 21:11, 南宁, 2024-12-01 23:11, 1854.0, 40
泰国航空, TG6294, 空客A320, 曼谷, 2024-12-01 02:49, 呼和浩特, 2024-12-01 06:55, 3811.0, 127
南方航空, CZ3866, 空客A350, 昆明, 2024-12-01 13:15, 拉萨, 2024-12-01 14:41, 1339.0, 33
澳洲航空, QF6657, 波音737, 悉尼, 2024-12-01 03:36, 纽约, 2024-12-01 21:16, 16377.0, 50
美联航, UA5044, 空客A330, 纽约, 2024-12-01 05:54, 昆明, 2024-12-01 18:47, 11948.0, 22
汉莎航空, LH2014, 波音777, 柏林, 2024-12-01 14:03, 昆明, 2024-12-01 23:03, 8343.0, 17
中国国际航空, CA1848, 波音777, 上海, 2024-12-01 08:04, 悉尼, 2024-12-01 16:57, 8240.0, 158
美联航, UA1100, 空客A330, 洛杉矶, 2024-12-01 10:57, 拉萨, 2024-12-01 22:23, 10609.0, 140
汉莎航空, LH9931, 波音737, 柏林, 2024-12-01 04:45, 昆明, 2024-12-01 13:45, 8343.0, 89
美联航, UA3381, 空客A320, 纽约, 2024-12-01 01:29, 巴黎, 2024-12-01 07:55, 5974.0, 99
俄罗斯航空, SU9805, 波音737, 莫斯科, 2024-12-01 04:24, 乌鲁木齐, 2024-12-01 08:24, 3708.0, 129
中国国际航空, CA3082, 空客A330, 成都, 2024-12-01 12:00, 上海, 2024-12-01 13:53, 1751.0, 151
法国航空, AF8843, 波音787, 巴黎, 2024-12-01 06:07, 柏林, 2024-12-01 07:07, 927.0, 121
全日空, NH6809, 波音777, 东京, 2024-12-01 12:37, 伦敦, 2024-12-01 23:10, 9785.0, 199
英国航空, BA1433, 空客A350, 伦敦, 2024-12-01 14:36, 哈尔滨, 2024-12-01 22:56, 7725.0, 14
汉莎航空, LH1833, 空客A330, 柏林, 2024-12-01 01:07, 北京, 2024-12-01 09:27, 7725.0, 58
南方航空, CZ7853, 波音777, 乌鲁木齐, 2024-12-01 06:54, 西安, 2024-12-01 09:14, 2163.0, 110
